MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,PavedDrive,MoSold,YrSold,SaleType,SalePrice
80,RL,83,21453,IR1,Low,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,SLvl,6,5,1969,1969,Flat,Metal,Plywood,Plywood,938,0,938,GasA,Y,SBrkr,988,0,988,1,0,1,0,1,1,4,2,540,Y,10,2006,WD,180000
20,RL,83,13500,Reg,Lvl,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1Story,6,7,1960,1975,Flat,CompShg,BrkFace,Plywood,429,93,1602,GasA,Y,SBrkr,1252,0,1252,1,0,1,0,1,1,4,1,564,Y,3,2008,WD,235000
20,RL,83,10708,IR1,Lvl,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1Story,5,5,1955,1993,Hip,CompShg,Wd Sdng,Wd Sdng,379,470,1617,GasA,Y,FuseA,1867,0,1867,1,0,1,0,2,1,7,3,303,Y,11,2009,COD,190000
50,RL,83,159000,IR2,Low,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,1.5Fin,6,7,1958,2006,Gable,CompShg,Wd Sdng,HdBoard,697,747,1444,GasA,Y,SBrkr,1444,700,2144,0,1,2,0,4,1,7,2,389,Y,6,2007,WD,277000
120,RL,83,5271,IR1,Low,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,1986,1986,Gable,CompShg,Wd Sdng,Wd Sdng,1082,371,1453,GasA,Y,SBrkr,1453,0,1453,1,0,1,1,2,1,6,1,445,Y,12,2006,WD,190000
60,RL,83,53107,IR2,Low,Corner,Mod,ClearCr,Feedr,Norm,1Fam,2Story,6,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,985,595,1580,GasA,Y,SBrkr,1079,874,1953,1,0,2,1,3,1,9,2,501,Y,6,2007,WD,240000
20,RL,83,53227,IR1,Low,CulDSac,Mod,ClearCr,Norm,Norm,1Fam,1Story,4,6,1954,1994,Flat,Tar&Grv,Plywood,Plywood,1116,248,1364,GasA,Y,SBrkr,1663,0,1663,1,0,1,0,2,1,6,2,529,Y,3,2008,WD,256000
120,RL,83,2887,Reg,HLS,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1Story,6,5,1996,1997,Gable,CompShg,Wd Sdng,Wd Sdng,1003,288,1291,GasA,Y,SBrkr,1291,0,1291,1,0,1,0,2,1,6,1,431,Y,11,2008,WD,173000
20,RL,83,115149,IR2,Low,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,1Story,7,5,1971,2002,Gable,CompShg,Plywood,Plywood,1219,424,1643,GasA,Y,SBrkr,1824,0,1824,1,0,2,0,2,1,5,2,739,Y,6,2007,WD,302000
60,RL,83,12205,IR1,Low,Inside,Gtl,ClearCr,Norm,Norm,1Fam,2Story,6,8,1966,2007,Gable,CompShg,HdBoard,HdBoard,568,264,832,GasA,Y,SBrkr,976,1111,2087,0,0,2,1,5,1,9,0,444,Y,7,2007,WD,187500
60,RL,83,28698,IR2,Low,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,2Story,5,5,1967,1967,Flat,Tar&Grv,Plywood,Plywood,249,0,1013,GasA,Y,SBrkr,1160,966,2126,0,1,2,1,3,1,7,0,538,Y,6,2009,WD,185000
70,RL,83,24090,Reg,Lvl,Inside,Gtl,ClearCr,Norm,Norm,1Fam,2Story,7,7,1940,1950,Gable,CompShg,MetalSd,MetalSd,0,1032,1032,GasA,Y,SBrkr,1207,1196,2403,0,0,2,0,4,1,10,2,349,Y,6,2010,COD,244400
50,RL,83,11250,Reg,Lvl,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,4,5,1957,1989,Gable,CompShg,Wd Sdng,Wd Sdng,0,1104,1104,GasA,Y,FuseA,1104,684,1788,1,0,1,0,5,1,8,2,304,Y,11,2009,WD,161500
40,RL,83,23595,Reg,Low,Inside,Sev,ClearCr,Norm,Norm,1Fam,1Story,7,6,1979,1979,Shed,WdShake,Plywood,Plywood,1258,74,1332,GasA,Y,SBrkr,1332,192,1524,2,0,0,1,0,1,4,1,586,Y,4,2010,WD,260000
20,RL,83,36500,IR1,Low,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,5,5,1964,1964,Gable,CompShg,Wd Sdng,Wd Sdng,812,812,1624,GasA,Y,SBrkr,1582,0,1582,0,1,2,0,4,1,7,0,390,N,6,2006,WD,190000
20,RL,71,9200,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,280,167,938,GasA,Y,SBrkr,938,0,938,1,0,1,0,3,1,5,0,308,Y,7,2008,WD,130250
60,RL,71,9375,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,739,318,1057,GasA,Y,SBrkr,1057,977,2034,1,0,2,1,3,1,8,0,645,Y,2,2009,WD,219500
120,RM,71,4438,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,662,186,848,GasA,Y,SBrkr,848,0,848,1,0,1,0,1,1,3,1,420,Y,1,2008,WD,149000
60,RL,71,10900,IR1,Lvl,FR2,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,7,1977,1977,Gable,CompShg,HdBoard,HdBoard,378,311,689,GasA,Y,SBrkr,689,703,1392,0,0,1,1,3,1,6,0,299,Y,3,2010,WD,161750
60,RL,71,9531,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,706,88,794,GasA,Y,SBrkr,882,914,1796,1,0,2,1,3,1,7,0,546,Y,5,2007,WD,211000
20,RL,71,11423,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,1358,223,1581,GasA,Y,SBrkr,1601,0,1601,1,0,2,0,3,1,6,1,670,Y,5,2010,WD,272000
120,RM,71,4435,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,685,163,848,GasA,Y,SBrkr,848,0,848,1,0,1,0,1,1,4,0,420,Y,5,2009,WD,140000
60,RL,71,11050,Reg,Lvl,Inside,Gtl,CollgCr,PosN,Norm,1Fam,2Story,9,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,904,536,1440,GasA,Y,SBrkr,1476,677,2153,1,0,2,1,3,1,8,2,736,Y,5,2009,WD,313000
60,RL,71,11885,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,990,309,1299,GasA,Y,SBrkr,1299,573,1872,1,0,2,1,3,1,7,1,531,Y,11,2009,WD,261500
120,RM,71,4426,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,697,151,848,GasA,Y,SBrkr,848,0,848,1,0,1,0,1,1,3,1,420,Y,5,2008,WD,141000
120,RM,71,4426,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,662,186,848,GasA,Y,SBrkr,848,0,848,1,0,1,0,1,1,3,0,420,Y,5,2010,WD,143000
120,RM,71,4438,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,662,186,848,GasA,Y,SBrkr,848,0,848,1,0,1,0,1,1,4,1,420,Y,6,2008,ConLD,144500
80,RL,71,10970,IR1,Low,Inside,Mod,CollgCr,Norm,Norm,1Fam,SLvl,6,6,1978,1978,Gable,CompShg,Plywood,HdBoard,505,0,940,GasA,Y,SBrkr,1026,0,1026,1,0,1,0,3,1,5,0,576,Y,10,2008,WD,147000
20,RL,71,7000,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,8,1978,2005,Gable,CompShg,VinylSd,VinylSd,646,218,864,GasA,Y,SBrkr,864,0,864,1,0,1,0,3,1,6,0,336,Y,7,2009,WD,136500
20,RL,71,9286,IR1,Lvl,CulDSac,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,7,1977,1989,Gable,CompShg,HdBoard,Plywood,196,1072,1268,GasA,Y,SBrkr,1268,0,1268,0,0,1,1,3,1,5,0,252,Y,10,2009,WD,143500
20,RL,71,11838,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2001,2001,Hip,CompShg,VinylSd,VinylSd,0,1753,1753,GasA,Y,SBrkr,1788,0,1788,0,0,2,0,3,1,7,1,522,Y,6,2009,WD,236500
60,RL,71,11250,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,CemntBd,CmentBd,0,1128,1128,GasA,Y,SBrkr,1149,1141,2290,0,0,2,1,4,1,9,1,779,Y,5,2008,WD,255900
20,RL,71,8125,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,986,668,1654,GasA,Y,SBrkr,1654,0,1654,1,0,2,0,3,1,6,0,900,Y,2,2006,WD,230000
60,RL,71,9240,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,0,1055,1055,GasA,Y,SBrkr,1055,1208,2263,0,0,2,1,3,1,7,1,905,Y,9,2008,WD,287000
20,RL,71,14781,IR2,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2001,2002,Hip,CompShg,VinylSd,VinylSd,0,1753,1753,GasA,Y,SBrkr,1787,0,1787,0,0,2,0,3,1,7,1,748,Y,8,2006,WD,275000
60,RL,71,9375,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,0,1284,1284,GasA,Y,SBrkr,1284,885,2169,0,0,2,1,3,1,7,1,647,Y,8,2007,WD,228500
60,RL,71,10316,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,735,257,992,GasA,Y,SBrkr,992,873,1865,1,0,2,1,3,1,7,1,839,Y,6,2008,WD,235000
120,RM,71,4435,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,685,163,848,GasA,Y,SBrkr,848,0,848,1,0,1,0,1,1,4,0,420,Y,6,2009,WD,144000
120,RM,71,4426,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,697,151,848,GasA,Y,SBrkr,848,0,848,1,0,1,0,1,1,3,1,420,Y,5,2008,WD,149300
20,RL,71,21000,Reg,Bnk,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,5,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,35,905,1809,GasA,Y,SBrkr,2259,0,2259,1,0,2,0,3,1,7,2,450,Y,10,2007,COD,217000
50,RL,71,15660,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,9,1939,2006,Gable,CompShg,VinylSd,VinylSd,341,457,798,GasA,Y,SBrkr,1137,817,1954,0,1,1,1,3,1,8,2,431,Y,5,2008,WD,311500
20,RL,71,32668,IR1,Lvl,CulDSac,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,3,1957,1975,Hip,CompShg,Wd Sdng,Stone,1219,816,2035,GasA,Y,SBrkr,2515,0,2515,1,0,3,0,4,2,9,2,484,Y,3,2007,WD,200624
20,RL,71,21695,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,9,1988,2007,Hip,CompShg,Wd Sdng,Plywood,808,72,880,GasA,Y,SBrkr,1680,0,1680,1,0,2,0,3,1,5,1,540,Y,12,2009,WD,222000
50,RL,71,11275,IR1,HLS,Corner,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,6,7,1932,1950,Gable,CompShg,MetalSd,MetalSd,297,0,854,GasA,Y,SBrkr,1096,895,1991,0,0,1,1,3,1,7,1,432,Y,3,2007,WD,220000
20,RL,71,14778,IR1,Low,CulDSac,Gtl,Crawfor,PosN,Norm,1Fam,1Story,6,7,1954,2006,Hip,CompShg,HdBoard,HdBoard,728,568,1296,GasA,Y,SBrkr,1640,0,1640,1,0,1,0,3,1,7,1,924,Y,11,2008,WD,224000
70,RL,71,11435,IR1,HLS,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,0,792,792,GasA,Y,SBrkr,792,725,1517,0,0,1,0,3,1,7,2,400,Y,6,2006,WD,230000
50,RL,71,14100,IR1,Lvl,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,8,9,1935,1997,Gable,CompShg,Stucco,Stucco,192,536,728,GasA,Y,SBrkr,1968,1479,3447,0,0,3,1,4,1,11,2,1014,Y,5,2008,WD,381000
70,RL,71,7500,IR1,Bnk,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,7,1942,1950,Gable,CompShg,Wd Sdng,Wd Sdng,547,224,771,GasA,Y,SBrkr,753,741,1494,0,0,1,0,3,1,7,2,213,P,11,2009,WD,177500
20,RL,71,16381,IR1,Lvl,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,5,1969,1969,Gable,CompShg,Plywood,Plywood,1110,734,1844,GasA,Y,SBrkr,1844,0,1844,1,0,2,0,3,1,7,1,540,Y,12,2006,WD,223000
20,RL,68,7917,IR1,Lvl,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,7,1976,1976,Hip,CompShg,HdBoard,HdBoard,751,392,1143,GasA,Y,SBrkr,1113,0,1113,1,0,1,1,3,1,6,1,504,Y,5,2007,WD,148000
30,RL,68,12342,IR1,Lvl,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,1940,1950,Gable,CompShg,VinylSd,VinylSd,262,599,861,GasA,Y,SBrkr,861,0,861,0,0,1,0,1,1,4,0,539,Y,3,2009,WD,82500
30,RL,68,10020,IR1,Low,Inside,Sev,Edwards,Norm,Norm,1Fam,1Story,1,1,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,350,333,683,GasA,N,FuseA,904,0,904,1,0,0,1,1,1,4,0,0,Y,3,2009,WD,61000
20,RL,68,17140,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,6,1956,1956,Gable,CompShg,VinylSd,VinylSd,1059,75,1134,GasA,Y,FuseA,1229,0,1229,0,0,1,0,3,1,6,0,284,Y,4,2009,WD,135000
20,RL,68,11500,IR1,Lvl,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,3,1957,1957,Gable,CompShg,Wd Sdng,Wd Sdng,0,0,0,GasA,N,SBrkr,845,0,845,0,0,1,0,3,1,5,0,290,N,1,2009,WD,84000
20,RL,68,13680,IR1,Lvl,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,5,1955,1955,Hip,CompShg,BrkFace,Wd Sdng,0,0,0,GasA,Y,FuseA,1733,0,1733,0,0,2,0,4,1,8,1,452,Y,6,2009,WD,139600
20,RL,68,8926,IR1,Lvl,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,3,1956,1956,Gable,CompShg,AsbShng,AsbShng,0,672,672,GasA,Y,FuseA,960,0,960,0,0,1,0,3,1,5,0,288,Y,10,2009,COD,112000
80,RL,68,19690,IR1,Lvl,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,7,1966,1966,Flat,Tar&Grv,Plywood,Plywood,0,697,697,GasA,Y,SBrkr,1575,626,2201,0,0,2,0,4,1,8,1,432,Y,8,2006,WD,274970
60,RL,79,13869,IR2,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,182,612,794,GasA,Y,SBrkr,794,676,1470,0,1,2,0,3,1,6,0,388,Y,7,2007,WD,177000
80,RL,79,8530,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1995,1996,Gable,CompShg,HdBoard,HdBoard,0,384,384,GasA,Y,SBrkr,804,670,1474,0,0,2,1,3,1,7,1,400,Y,5,2009,WD,168500
60,RL,79,9765,IR2,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,8,1993,1993,Gable,CompShg,VinylSd,VinylSd,310,370,680,GasA,Y,SBrkr,680,790,1470,0,0,2,1,3,1,6,1,420,Y,4,2009,WD,185000
80,RL,79,7750,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,250,134,384,GasA,Y,SBrkr,774,656,1430,0,0,2,1,3,1,7,1,400,Y,4,2010,WD,180000
60,RL,79,12224,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,695,297,992,GasA,Y,SBrkr,1022,1032,2054,1,0,2,1,3,1,7,1,390,Y,7,2009,WD,244000
60,RL,79,9505,IR1,Lvl,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,0,884,884,GasA,Y,SBrkr,884,1151,2035,0,0,2,1,3,1,8,1,434,Y,5,2010,WD,222500
60,RL,79,8068,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,0,1010,1010,GasA,Y,SBrkr,1010,1257,2267,0,0,2,1,4,1,8,1,390,Y,12,2009,ConLI,200000
60,RL,79,7851,Reg,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,625,235,860,GasA,Y,SBrkr,860,1100,1960,1,0,2,1,4,1,8,2,440,Y,5,2010,WD,216500
60,RL,79,7685,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,518,179,697,GasA,Y,SBrkr,697,804,1501,0,0,2,1,3,1,6,1,420,Y,5,2006,WD,165600
20,RL,79,9248,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,6,1992,1992,Gable,CompShg,HdBoard,HdBoard,560,598,1158,GasA,Y,SBrkr,1167,0,1167,1,0,2,0,3,1,6,0,400,Y,7,2009,WD,173000
60,RL,79,8121,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,0,953,953,GasA,Y,SBrkr,953,711,1664,0,0,2,1,3,1,7,1,460,Y,1,2006,WD,172400
60,RL,79,10364,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1995,1996,Gable,CompShg,MetalSd,MetalSd,0,806,806,GasA,Y,SBrkr,806,766,1572,0,0,2,1,3,1,7,1,373,Y,5,2007,WD,168000
60,RL,79,11214,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,0,930,930,GasA,Y,SBrkr,956,930,1886,0,0,2,1,4,1,10,1,431,Y,7,2006,WD,199900
60,RL,79,7861,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,457,326,783,GasA,Y,SBrkr,807,702,1509,1,0,2,1,3,1,7,1,393,Y,6,2006,WD,183200
60,RL,79,8795,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,300,652,952,GasA,Y,SBrkr,980,1276,2256,0,0,2,1,4,1,8,1,554,Y,4,2009,WD,236000
60,RL,79,7750,Reg,Lvl,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,0,660,660,GasA,Y,SBrkr,660,660,1320,0,0,2,1,3,1,6,0,400,Y,8,2007,WD,162000
60,RL,79,10832,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1994,1996,Gable,CompShg,MetalSd,MetalSd,0,712,712,GasA,Y,SBrkr,1086,809,1895,0,0,2,1,3,1,7,1,409,Y,10,2008,WD,194500
60,RL,79,12394,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,0,847,847,GasA,Y,SBrkr,847,886,1733,0,0,2,1,3,1,7,1,433,Y,10,2007,WD,225000
60,RL,79,14762,IR2,Lvl,Corner,Gtl,Gilbert,Feedr,Norm,1Fam,2Story,5,6,1948,1950,Gable,CompShg,Plywood,Plywood,0,0,0,GasA,Y,SBrkr,1547,720,2320,0,0,2,0,2,1,7,1,672,P,5,2006,WD,169000
60,RL,79,9636,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1992,1993,Gable,CompShg,VinylSd,VinylSd,0,808,808,GasA,Y,SBrkr,808,785,1593,0,0,2,1,3,1,7,1,389,Y,12,2009,WD,178000
60,RL,79,13006,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1997,1997,Gable,CompShg,HdBoard,HdBoard,0,964,964,GasA,Y,SBrkr,993,1243,2236,0,0,2,1,4,1,8,1,642,Y,11,2006,WD,222000
60,RL,79,8755,IR1,Lvl,FR2,Gtl,Gilbert,RRNn,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,772,220,992,GasA,Y,SBrkr,1022,1038,2060,1,0,2,1,3,1,8,1,390,Y,6,2009,WD,214000
80,RL,79,10784,IR1,Lvl,FR2,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1991,1992,Gable,CompShg,HdBoard,HdBoard,0,384,384,GasA,Y,SBrkr,802,670,1472,0,0,2,1,3,1,7,1,402,Y,5,2007,WD,160000
60,RL,79,13031,IR2,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1995,1996,Gable,CompShg,HdBoard,HdBoard,592,99,691,GasA,Y,SBrkr,691,807,1498,0,0,2,1,3,1,6,1,409,Y,7,2006,WD,187500
60,RL,79,8063,Reg,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,0,924,924,GasA,Y,SBrkr,948,742,1690,0,0,2,1,3,1,7,1,463,Y,11,2007,WD,181000
60,RL,79,8000,Reg,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1995,1996,Gable,CompShg,HdBoard,HdBoard,219,554,773,GasA,Y,SBrkr,773,885,1658,1,0,2,1,3,1,8,1,431,Y,6,2008,WD,188000
80,RL,79,7750,Reg,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,353,55,408,GasA,Y,SBrkr,779,640,1419,1,0,2,1,3,1,7,1,527,Y,3,2009,WD,184100
